method,dataset,dispersion,times,NDKL,rbo,wig_rbo,fairness
BORDA,synthetic-0,0,0.020109653,0.228987345,0.539709579,1,EQUAL
RAPF,synthetic-0,0,0.044263887,0.098131155,0.511462068,0.514099908,EQUAL
EPIRA,synthetic-0,0,6.829381847,0.152095291,0.54080692,0.966837337,EQUAL
WISE,synthetic-0,0,0.07142067,0.098131155,0.537693279,1,EQUAL
PRE-EG,synthetic-0,0,0.050079536,0.177295406,0.514253324,0.590088171,EQUAL
POST-EG,synthetic-0,0,0.012285519,0.193028499,0.515003893,0.647939432,EQUAL
PRE-FQ,synthetic-0,0,69.95020547,0.382075012,0.502192432,0.561812212,EQUAL
POST-FQ,synthetic-0,0,1.961818695,0.277532691,0.529753316,0.994888889,EQUAL
BORDA,synthetic-0.02,0.02,0.019808578,0.6871342,0.592306334,1,EQUAL
RAPF,synthetic-0.02,0.02,0.05268445,0.098131155,0.514535455,0.56498148,EQUAL
EPIRA,synthetic-0.02,0.02,8.522045898,0.272872345,0.578624491,0.921689767,EQUAL
WISE,synthetic-0.02,0.02,0.113832855,0.098310692,0.547641668,1,EQUAL
PRE-EG,synthetic-0.02,0.02,0.109119654,0.360569467,0.554162657,0.606669265,EQUAL
POST-EG,synthetic-0.02,0.02,0.011674881,0.248730942,0.533714151,0.586178192,EQUAL
PRE-FQ,synthetic-0.02,0.02,70.54586711,0.579718794,0.448453854,0.403592714,EQUAL
POST-FQ,synthetic-0.02,0.02,1.759006643,0.370674362,0.471869451,1,EQUAL
BORDA,synthetic-0.04,0.04,0.010838223,0.764930364,0.670961611,1,EQUAL
RAPF,synthetic-0.04,0.04,0.029448652,0.098131155,0.52043315,0.591265203,EQUAL
EPIRA,synthetic-0.04,0.04,6.41287775,0.289654829,0.62313125,0.917186682,EQUAL
WISE,synthetic-0.04,0.04,0.185681915,0.098193917,0.557516962,1,EQUAL
PRE-EG,synthetic-0.04,0.04,0.063207388,0.519477693,0.623313144,0.60027933,EQUAL
POST-EG,synthetic-0.04,0.04,0.008253098,0.289509895,0.561110385,0.578043128,EQUAL
PRE-FQ,synthetic-0.04,0.04,56.49003396,0.691370811,0.391117169,0.361136797,EQUAL
POST-FQ,synthetic-0.04,0.04,1.795503092,0.471981376,0.434503146,1,EQUAL
BORDA,synthetic-0.06,0.06,0.01005969,0.773322664,0.726639062,1,EQUAL
RAPF,synthetic-0.06,0.06,0.033149385,0.098131155,0.521763966,0.593227512,EQUAL
EPIRA,synthetic-0.06,0.06,6.259558725,0.294141609,0.657658735,0.9106238,EQUAL
WISE,synthetic-0.06,0.06,0.107829905,0.098164591,0.570469747,1,EQUAL
PRE-EG,synthetic-0.06,0.06,0.056713533,0.554585093,0.66865663,0.616853576,EQUAL
POST-EG,synthetic-0.06,0.06,0.010570908,0.285540898,0.581122868,0.582915061,EQUAL
PRE-FQ,synthetic-0.06,0.06,54.94771862,0.713593477,0.366874832,0.334942477,EQUAL
POST-FQ,synthetic-0.06,0.06,1.941405869,0.452788517,0.414180849,1,EQUAL
BORDA,synthetic-0.08,0.08,0.012031937,0.799390902,0.767037071,1,EQUAL
RAPF,synthetic-0.08,0.08,0.048810148,0.098131155,0.520198582,0.579067755,EQUAL
EPIRA,synthetic-0.08,0.08,6.554698324,0.299599054,0.681327325,0.929632376,EQUAL
WISE,synthetic-0.08,0.08,0.095429087,0.098346963,0.573294984,1,EQUAL
PRE-EG,synthetic-0.08,0.08,0.065149117,0.577777819,0.702578173,0.643727168,EQUAL
POST-EG,synthetic-0.08,0.08,0.012711811,0.284455226,0.594916865,0.579182092,EQUAL
PRE-FQ,synthetic-0.08,0.08,50.81256156,0.714871834,0.356721191,0.331290962,EQUAL
POST-FQ,synthetic-0.08,0.08,1.825596619,0.474828391,0.395850647,1,EQUAL
BORDA,synthetic-0.1,0.1,0.011651325,0.806272137,0.797687962,1,EQUAL
RAPF,synthetic-0.1,0.1,0.04344511,0.098131155,0.525725095,0.611792314,EQUAL
EPIRA,synthetic-0.1,0.1,6.72823596,0.300936487,0.697452195,0.932302834,EQUAL
WISE,synthetic-0.1,0.1,0.101959801,0.098336479,0.571990059,1,EQUAL
PRE-EG,synthetic-0.1,0.1,0.062619495,0.582027092,0.723128065,0.629290916,EQUAL
POST-EG,synthetic-0.1,0.1,0.007485867,0.287434245,0.605573367,0.578370107,EQUAL
PRE-FQ,synthetic-0.1,0.1,52.22046986,0.696896146,0.348732913,0.328855065,EQUAL
POST-FQ,synthetic-0.1,0.1,1.943636322,0.466288832,0.382220258,1,EQUAL
