method,dataset,tuning,times,NDKL,rbo,wig_rbo,fairness,intervention
BORDA,synthetic-0.1,0.1,0.019781685,0.806272137,0.797687962,1,EQUAL,0
RAPF,synthetic-0.1,0.1,0.047369003,0.098131155,0.525725095,0.611792314,EQUAL,0
EPIRA,synthetic-0.1,0.5,7.487066174,0.697821104,0.784683232,0.932302834,EQUAL,0
WISE,synthetic-0.1,0,0.03913846,0.806272137,0.797687962,1,EQUAL,0
PRE-EG,synthetic-0.1,0.2,0.059130478,0.790203721,0.793746632,0.851263127,EQUAL,0
POST-EG,synthetic-0.1,0.2,0.008759117,0.56311441,0.741826419,0.794463711,EQUAL,0
PRE-FQ,synthetic-0.1,0.25,29.87049398,0.808685494,0.327683402,0.328855065,EQUAL,0
POST-FQ,synthetic-0.1,0.25,0.642459345,0.806272137,0.797687962,1,EQUAL,0
BORDA,synthetic-0.1,0.2,0.008588982,0.806272137,0.797687962,1,EQUAL,1
RAPF,synthetic-0.1,0.2,0.032372141,0.098131155,0.525725095,0.611792314,EQUAL,1
EPIRA,synthetic-0.1,0.6,6.274408913,0.541392322,0.769752252,0.932302834,EQUAL,1
WISE,synthetic-0.1,0.25,0.043329334,0.743018282,0.794623158,1,EQUAL,1
PRE-EG,synthetic-0.1,0.3,0.065889645,0.786067189,0.79148936,0.830507686,EQUAL,1
POST-EG,synthetic-0.1,0.3,0.010305309,0.493656374,0.716600959,0.71259543,EQUAL,1
PRE-FQ,synthetic-0.1,0.2,32.02247915,0.808685494,0.327683402,0.328855065,EQUAL,0
POST-FQ,synthetic-0.1,0.2,0.588417292,0.806272137,0.797687962,1,EQUAL,0
PRE-FQ,synthetic-0.1,0.15,32.98700109,0.808685494,0.327683402,0.328855065,EQUAL,1
POST-FQ,synthetic-0.1,0.15,1.830546522,0.632966361,0.649396157,1,EQUAL,1
PRE-FQ,synthetic-0.1,0.1,32.15247149,0.808685494,0.327683402,0.328855065,EQUAL,2
POST-FQ,synthetic-0.1,0.1,1.827729893,0.350434045,0.472280996,1,EQUAL,2
PRE-FQ,synthetic-0.1,0.05,57.00868268,0.696896146,0.348732913,0.328855065,EQUAL,3
POST-FQ,synthetic-0.1,0.05,1.714574242,0.466288832,0.382220258,1,EQUAL,3
PRE-FQ,synthetic-0.1,0.15,32.98700109,0.808685494,0.327683402,0.328855065,EQUAL,1
POST-FQ,synthetic-0.1,0.15,1.830546522,0.632966361,0.649396157,1,EQUAL,1
BORDA,synthetic-0.1,0.4,0.011394644,0.806272137,0.797687962,1,EQUAL,3
RAPF,synthetic-0.1,0.4,0.032511425,0.098131155,0.525725095,0.611792314,EQUAL,3
EPIRA,synthetic-0.1,0.8,6.404407787,0.372812142,0.731148066,0.932302834,EQUAL,3
WISE,synthetic-0.1,0.75,0.043754435,0.421509787,0.716655281,1,EQUAL,3
PRE-EG,synthetic-0.1,0.5,0.058973837,0.685322596,0.755888834,0.694166345,EQUAL,3
POST-EG,synthetic-0.1,0.5,0.008794594,0.335581548,0.634276909,0.615253554,EQUAL,3
PRE-FQ,synthetic-0.1,0.1,32.15247149,0.808685494,0.327683402,0.328855065,EQUAL,2
POST-FQ,synthetic-0.1,0.1,1.827729893,0.350434045,0.472280996,1,EQUAL,2
BORDA,synthetic-0.1,0.5,0.011423397,0.806272137,0.797687962,1,EQUAL,4
RAPF,synthetic-0.1,0.5,0.033256769,0.098131155,0.525725095,0.611792314,EQUAL,4
EPIRA,synthetic-0.1,0.9,6.435716772,0.300936487,0.697452195,0.932302834,EQUAL,4
WISE,synthetic-0.1,0.99,0.047968578,0.098336479,0.571990059,1,EQUAL,4
PRE-EG,synthetic-0.1,0.6,0.058338022,0.582027092,0.723128065,0.629290916,EQUAL,4
POST-EG,synthetic-0.1,0.6,0.008167219,0.287434245,0.605573367,0.578370107,EQUAL,4
PRE-FQ,synthetic-0.1,0.05,57.00868268,0.696896146,0.348732913,0.328855065,EQUAL,3
POST-FQ,synthetic-0.1,0.05,1.714574242,0.466288832,0.382220258,1,EQUAL,3
